,,ControlLine,MC01A,,,PostType,"Timber, Steel",,,PostType,"Timber, Steel",,,Chainage,31750,,,ControlLine,MC01A,,,Name,Ezy-Guard High Containment (HC),,,Length,2400 mm,,,StartChainage,31056,,,
,,StartChainage,31056,,,ControlLine,MC01A,,,ControlLine,MC01A,,,Offset,"10.5L, 12.1R",,,Chainage,31750,,,ControlLine,MC01A,,,Width,600 mm,,,EndChainage,38750,,,
,,EndChainage,38750,,,StartChainage,31056,,,Chainage,31056,,,MUTCDSignID,G1-4,,,TdistStart,8.078 km,,,StartChainage,31056,,,BaseThickeness,1.6 mm,,,StartLatitudeLongitude,-16.9781033 145.53226448,,,
,,TdistStart,8.078 km,,,EndChainage,38750,,,Tdist,8.078 km,,,NumberOfPosts,2,,,Location,"X coordinate, Y coordinate",,,EndChainage,38750,,,Location,"X coordinate, Y coordinate",,,EndLatitudeLongitude,-27.40757 152.995518,,,
,,TdistEnd,14.749 km,,,TdistStart,8.078 km,,,Length,3600 mm,,,PostType,"Standard, Slipbase",,,Depth,450 mm,,,TdistStart,8.078 km,,,TdistStart,48.078 km,,,TdistStart,8.078 km,,,
,,NumberOfPosts,50,,,TdistEnd,14.749 km,,,Height,1200 mm,,,SignHeight,1500 mm,,,Width,8 m,,,TdistEnd,14.749 km,,,DesignVerifiedBy,Jane Citizen 12346,,,TdistEnd,14.749 km,,,
,,DesignVerifiedBy,Jane Citizen 12346,,,Length,25 m,,,DesignVerifiedBy,Jane Citizen 12346,,,SignSize,1000mm x 900mm,,,Length,4 m,,,Length,35 m,,,DesignVerifiedDate,DD-MON-YYYY,,,(for each Span),,,,
,,DesignVerifiedDate,DD-MON-YYYY,,,Height,2000 mm,,,DesignVerifiedDate,DD-MON-YYYY,,,KerbPostLength,3250 mm,,,DesignVerifiedBy,Jane Citizen 12346,,,MashTestLevel,TL4,,Construction,UniqueObjectCode,IPMWR2D-MC1A0-RF-TGSI-0001,,,SpanNumber,1,,,
,Construction,UniqueObjectCode,IPMWR2D-MC1A0-RF-REGP-0001,,,DesignVerifiedBy,Jane Citizen 12346,,Construction,UniqueObjectCode,IPMWR2D-MC1A0-RF-FNG-0002,,,Post2Length,4500 mm,,,DesignVerifiedDate,DD-MON-YYYY,,,EndTreatment,QUADGUARD M10 Crash Cushion,,,InstallationDate,DD-MON-YYYY,,,SpanHeight,4.6 m,,,
,,InstallationDate,DD-MON-YYYY,,,DesignVerifiedDate,DD-MON-YYYY,,,InstallationDate,DD-MON-YYYY,,,Location,"X coordinate, Y coordinate",,Construction,UniqueObjectCode,IPMWR2D-MC1A0-RF-GRID-0001,,,MotorcyclistProtection,Ingal MPR,,,InstalledBy,Jane Citizen,,,SpanLengt,5 m,,,
,,InstalledBy,CJV Name,,Construction,UniqueObjectCode,IPMWR2D-MC1A0-RF-FNCW-0001,,,InstalledBy,CJV Name,,,Tdist,8.078 km,,,Abutment,Cast insitu,,,DesignVerifiedBy,Jane Citizen 12346,,Asset Management ,UniqueObjectCode,IPMWR2D-MC1A0-RF-TGSI-0001,,,PanelType,Concrete,,,
,Asset Management ,UniqueObjectCode,IPMWR2D-MC1A0-RF-REGP-0001,,,InstallationDate,DD-MON-YYYY,,Asset Management ,UniqueObjectCode,IPMWR2D-MC1A0-RF-FNG-0002,,,DesignVerifiedBy,Jane Citizen 12346,,,BaseSlab,Precast,,,DesignVerifiedDate,DD-MON-YYYY,,,WarrantyPeriod,24,,,NumberOfPanels,4,,,
,,AssetID,REGP0001,,,InstalledBy,CJV Name,,,AssetID,FNG002,,,DesignVerifiedDate,DD-MON-YYYY,,,InstallationDate,DD-MON-YYYY,,Construction,UniqueObjectCode,IPMWR2D-MC1A0-RF-SBCB-0001,,,UVResistanceWarrantyComments,May be affected by high UV exposure,,,PostType,Steel ,,,
,,WarrantyPeriod,24,,Asset Management ,UniqueObjectCode,IPMWR2D-MC1A0-RF-FNCW-0001,,,WarrantyPeriod,24,,Construction,UniqueObjectCode,IPMWR2D-MC1A0-RF-SIGN-0001,,,InstalledBy,Jane Citizen,,,InstallationDate,DD-MON-YYYY,,,MaintenanceInterval,12,,,PostSize,400 mm,,,
,,MaintenanceInterval,12,,,AssetID,FNCW0001,,,MaintenanceInterval,6,,,InstallationDate,DD-MON-YYYY,,Asset Management ,UniqueObjectCode,IPMWR2D-MC1A0-RF-GRID-0001,,,InstalledBy,Frank Doe,,,Type,"Warning, Directional",,,PostLatLong,-16.9781033 145.53226448,,,
,,,,,,WarrantyPeriod,36,,,,,,,InstalledBy,Jane Citizen,,,AssetID,GR0001,,,BarrierHeight,980,,,Description,Metal P5,,,FootingDepth,2 m,,,
,,,,,,MaintenanceInterval,12,,,,,,,StiffenerRails,4,,,WarrantyPeriod,60,,,PostSpacing,2,,,,,,,DesignVerifiedBy,Jane Citizen 12346,,,
,,,,,,,,,,,,,,ConnectionStraps,4,,,MaintenanceInterval,12,,Asset Management ,UniqueObjectCode,IPMWR2D-MC1A0-RF-SBCB-0001,,,,,,,DesignVerifiedDate,42130,,,
,,,,,,,,,,,,,,PostFixing,Dovetail,,,,,,,MaintenanceDate,DD-MON-YYYY,,,,,,Construction,UniqueObjectCode,IPMWR2D-MC1A0-RF-NBPC-0001,,,
,,,,,,,,,,,,,Asset Management ,UniqueObjectCode,IPMWR2D-MC1A0-RF-SIGN-0001,,,,,,,MaintenanceBy,RoadTek,,,,,,,InstallationDate,2012-12-20 00:00:00,,,
,,,,,,,,,,,,,,Feature,SGN,,,,,,,MaintenanceInterval,12,,,,,,,InstalledBy,Some Body,,,
,,,,,,,,,,,,,,FeatureSubType,STD (Standard) NSD (Non standard),,,,,,,,,,,,,,,ConstructionDate,DD-MON-YYYY,,,
,,,,,,,,,,,,,,Position,"LHS, RHS",,,,,,,,,,,,,,,ConstructedBy,Fenco,,,
,,,,,,,,,,,,,,Carriageway,3 (ARMIS Carriageway code),,,,,,,,,,,,,,Asset Management ,UniqueObjectCode,IPMWR2D-MC1A0-RF-NBPC-0001,,,
,,,,,,,,,,,,,,FeatureLength,0 m,,,,,,,,,,,,,,,AssetID,NBPC0001,,,
,,,,,,,,,,,,,,VerticalClearance,4.5 m,,,,,,,,,,,,,,,InspectionDate,DD-MON-YYYY,,,
,,,,,,,,,,,,,,HorizontalClearance,10.5 m,,,,,,,,,,,,,,,InspectionLevel,"1, 2",,,
,,,,,,,,,,,,,,AssetID,SIR30001,,,,,,,,,,,,,,,InspectedBy,"SLR, Projex Partners, Noise Team, Region, RoadTek",,,
,,,,,,,,,,,,,,InitialCost,$,,,,,,,,,,,,,,,OverallCondition,"CRL0, CRL1, CRL2",,,
,,,,,,,,,,,,,,Condition,GC,,,,,,,,,,,,,,,InspectComment,Free text,,,
,,,,,,,,,,,,,,DateInspected,DD-MON-YYYY,,,,,,,,,,,,,,,InspectReport,Record,,,
,,,,,,,,,,,,,,InspectedBy,Bob Person,,,,,,,,,,,,,,,MaintenanceDate,DD-MON-YYYY,,,
,,,,,,,,,,,,,,WarrantyPeriod,60,,,,,,,,,,,,,,,MaintenanceBy,RoadTek,,,
,,,,,,,,,,,,,,MaintenanceInterval,12,,,,,,,,,,,,,,,MaintenanceDetails,Free text,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MaintenanceReport,Record,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DisposalDate,DD-MON-YYYY,,,
